date,ticker,label,score,close,vix_high_stress,sector_above_sma200,fwd_10,fwd_30,fwd_60
1991-04-10,SP500,Strong Buy,0.9999999999999999,373.15,False,True,0.0257537183438296,0.008146857831971112,0.0024922953235964273
1991-04-11,SP500,Strong Buy,0.9999999999999999,377.63,False,True,0.004289913407303458,-0.007070412837963128,0.0008209093557185666
1991-04-12,SP500,Strong Buy,1.0,380.4,False,True,-0.003627760252365919,-0.007649842271293292,-0.011277602523659211
1991-04-15,SP500,Strong Buy,1.0,381.19,False,True,-0.019753928487106096,0.0019675227576798973,-0.014297332039140557
1991-04-16,SP500,Strong Buy,1.0,387.62,False,True,-0.03168051184149432,-0.012460657344822207,-0.027475362468396825
1991-04-17,SP500,Strong Buy,1.0,390.45,False,True,-0.026021257523370388,-0.008938404405173541,-0.02612370341913174
1991-04-18,SP500,Strong Buy,1.0,388.46,False,True,-0.0204396849096432,0.0035267466405807667,-0.0156258044586315
1991-04-19,SP500,Strong Buy,1.0,384.2,False,True,-0.008849557522123835,0.010046850598646575,-0.006923477355543905
1991-04-22,SP500,Strong Buy,1.0,380.95,False,True,-0.0022837642735267214,0.0178238613991338,0.0006037537734611319
1991-04-23,SP500,Strong Buy,1.0,381.76,False,True,-0.01163034367141659,0.008722757753562406,0.009456202849958125
1991-04-24,SP500,Strong Buy,1.0,382.76,False,True,-0.011103563590761836,0.002272964782108905,0.0038144006688265136
1991-04-25,SP500,Strong Buy,1.0,379.25,False,True,0.01054713249835201,0.00047462096242585844,0.009571522742254437
1991-04-26,SP500,Strong Buy,1.0,379.02,False,True,-0.00865389689198452,-0.0011872724394490757,0.0010553532795104061
1991-04-29,SP500,Strong Buy,1.0,373.66,False,True,0.008296312155435331,0.019777337686666986,0.013327624043247768
1991-04-30,SP500,Strong Buy,1.0,375.34,False,True,-0.009911014013960598,0.0034901689135184164,0.014973091064101895
1991-05-01,SP500,Strong Buy,1.0,380.29,False,True,-0.030818585816087794,-0.006994661968497791,0.0016829261879091912
1991-05-02,SP500,Strong Buy,1.0,380.52,False,True,-0.021891096394407613,0.004651529485966674,0.006911594659939019
1991-05-03,SP500,Strong Buy,1.0,380.8,False,True,-0.02208508403361351,-0.0017594537815126467,0.01546743697478988
1991-05-06,SP500,Strong Buy,1.0,380.08,False,True,-0.02052199536939595,-0.003920227320564116,0.020337823616080875
1991-05-07,SP500,Strong Buy,1.0,377.32,False,True,-0.005221032545319544,-0.005910102830488758,0.025972649210219474
1991-05-08,SP500,Strong Buy,1.0,378.51,False,True,-0.006129296451877079,-0.008163588808750033,0.022905603550764885
1991-05-09,SP500,Strong Buy,1.0,383.25,False,True,-0.02163078930202223,-0.014350945857795172,0.004722765818656236
1991-05-10,SP500,Strong Buy,1.0,375.74,False,True,0.004657475914195987,-0.012774791078937593,0.03960185234470643
1991-05-13,SP500,Strong Buy,1.0,376.76,False,True,0.013748805605690645,-0.016217220511731644,0.03662809215415652
1991-05-14,SP500,Strong Buy,1.0,371.62,False,True,0.030057585705828577,-8.072762499335224e-05,0.04762929874603086
1991-05-15,SP500,Strong Buy,1.0,368.57,False,True,0.0498955422307838,0.015817890767018433,0.050329652440513364
1991-05-16,SP500,Strong Buy,1.0,372.19,False,True,0.04739514763964638,-0.002767403745398782,0.04253204008705227
1991-05-17,SP500,Strong Buy,1.0,372.39,False,True,0.0420795402669245,0.014850022825532452,0.04626869679636945
1991-05-20,SP500,Strong Buy,1.0,372.28,False,True,0.04152788223917492,0.013941119587407475,0.04732996669173742
1991-05-21,SP500,Strong Buy,1.0,375.35,False,True,0.025949114160117095,-0.005381643799120923,0.03724523777807369
1991-05-22,SP500,Strong Buy,1.0,376.19,False,True,0.01977724022435471,-0.005608867859326441,0.024960791089608938
1991-05-23,SP500,Strong Buy,1.0,374.96,False,True,0.01192127160230432,0.007947514401536213,0.004027096223597312
1991-05-24,SP500,Strong Buy,1.0,377.49,False,True,0.002861002940475202,-0.0036557259794961334,0.005139208985668489
1991-05-28,SP500,Strong Buy,1.0,381.94,False,True,-0.0023302089333402795,-0.016232916164842615,0.022647536262240083
1991-05-29,SP500,Strong Buy,1.0,382.79,False,True,-0.016040126440084755,-0.015204158938321255,0.022309882703309813
1991-05-30,SP500,Strong Buy,1.0,386.96,False,True,-0.02411101922679343,-0.01734029357039482,0.01863241678726493
1991-05-31,SP500,Strong Buy,1.0,389.83,False,True,-0.019341764358822983,-0.019085242285098628,0.010312187363722749
1991-06-03,SP500,Strong Buy,1.0,388.06,False,True,-0.02043498428078134,-0.016801525537288,0.012884605473380405
1991-06-04,SP500,Strong Buy,1.0,387.74,False,True,-0.023598287512250564,-0.016918553669985046,0.02295352555836379
1991-06-05,SP500,Strong Buy,1.0,385.09,False,True,-0.025967955542860112,0.0007271027552001599,0.029551533407774944
1991-06-06,SP500,Strong Buy,1.0,383.63,False,True,-0.021400828923702472,0.0015379402027996556,0.03075880405599148
1991-06-07,SP500,Strong Buy,1.0,379.43,False,True,-0.004427694172838222,0.009092586247792711,0.0335239701657749
1991-06-10,SP500,Strong Buy,1.0,378.57,False,True,-0.020154793036954846,0.0022452914916660663,0.030113321182344176
1991-06-11,SP500,Strong Buy,1.0,381.05,False,True,-0.027293006167169752,-0.00632462931373842,0.021230809605038644
1991-06-12,SP500,Strong Buy,1.0,376.65,False,True,-0.013434222753219175,0.011442984202840841,0.03305455993628049
1991-06-13,SP500,Strong Buy,1.0,377.63,False,True,-0.008553345867648275,0.0087387124963589,0.02897015597277758
1991-06-14,SP500,Strong Buy,1.0,382.29,False,True,-0.029114023385388044,0.002249601088179018,0.005937900546705333
1991-06-17,SP500,Strong Buy,1.0,380.13,False,True,-0.0058138005419198155,0.017257254097282515,0.013048167732091599
1991-06-18,SP500,Strong Buy,1.0,378.59,False,True,-0.0029583454396575394,0.024353522280039164,0.023112073747325605
1991-06-19,SP500,Strong Buy,1.0,375.09,False,True,-0.004692207203604444,0.032072302647364714,0.0226612279719534
1991-06-20,SP500,Strong Buy,1.0,375.42,False,True,-0.003569335677374758,0.031324916093974725,0.027595759416120497
