date,ticker,label,score,close,vix_high_stress,sector_above_sma200,fwd_10,fwd_30,fwd_60
2017-07-28,AAPL,Strong Buy,1.0,143.2734723915,False,True,0.057650577037246555,0.08464927731464332,0.048852493115922026
2017-07-31,AAPL,Strong Buy,1.0,142.5355421323,False,True,0.07912576026358142,0.08594413385069642,0.0605608816851294
2017-08-01,AAPL,Strong Buy,1.0,143.8005654337,False,True,0.08134270291720802,0.06829432252982291,0.04661393665444587
2017-08-02,AAPL,Strong Buy,1.0,150.5952739237,False,True,0.02840038233647985,0.011340245518363672,0.0057813245330734404
2017-08-03,AAPL,Strong Buy,1.0,149.0906628759,False,True,0.018835910529404115,0.03187308612314274,0.05233241613993257
2017-08-04,AAPL,Strong Buy,1.0,149.8765106843,False,True,0.011182571710855587,0.018694213672359655,0.07037687844907192
2017-08-07,AAPL,Strong Buy,1.0,152.1957200702,False,True,-0.006059655508542578,0.003550352274366074,0.0687340234894574
2017-08-08,AAPL,Strong Buy,1.0,153.4128258223,False,True,0.0021744777231755786,-0.02109543911438436,0.04676992481717943
2017-08-09,AAPL,Strong Buy,1.0,154.3520097884,False,True,-0.0026766321712713443,-0.0437590236826811,0.048006196809863955
2017-08-10,AAPL,Strong Buy,1.0,149.4548362505,True,True,0.025431367499071385,-0.022083440638669464,0.11061035281984524
2017-08-11,AAPL,Strong Buy,1.0,151.533270749,True,True,0.01511303022550987,-0.044005588011397256,0.10648971297946137
2017-08-14,AAPL,Strong Buy,1.0,153.8137752681,False,True,0.010134501095125972,-0.04197685329968662,0.09358773850462444
2017-08-15,AAPL,Strong Buy,1.0,155.4976921071,False,True,0.00810643564363527,-0.045606435643530625,0.09059405940634405
2017-08-16,AAPL,Strong Buy,1.0,154.8722372812,False,True,0.014911463187600775,-0.04765455110265847,0.09276172724434405
2017-08-17,AAPL,Strong Buy,1.0,151.8989212626,True,True,0.03889522361574969,-0.023691878880288585,0.11047763841382768
2017-08-18,AAPL,Strong Buy,1.0,151.5525155128,False,True,0.04158730158766444,-0.023428571428100856,0.1085553983431604
2017-08-21,AAPL,Strong Buy,1.0,151.2734664367,False,True,0.030977673175492892,-0.017365307550476758,0.09381075854791898
